Rank,Shirt Number,Name,Team,Stuff Blocks,Faults,Rebounds,Total Attempts,Average Per Set
224,23,Timothée Carle,FRA,1,9,9,19,0.02
225,11,Lukas Kampa,GER,1,4,6,11,0.02
226,18,Jakob Günthör,GER,1,5,4,10,0.02
227,27,Stefan Kovacevic,SRB,1,4,4,9,0.02
228,2,Ilia Vlasov,RUS,1,6,3,10,0.01
229,8,Anton Semyshev,RUS,1,5,3,9,0.01
230,7,Kawika Shoji,USA,1,10,8,19,0.01
231,19,Mauricio Borges Almeida Silva,BRA,1,5,3,9,0.01
232,25,Michał Szalacha,POL,1,2,3,6,0.01
233,21,Nicholas Butler,AUS,0,1,0,1,
234,25,Jordan Colotti,AUS,0,0,1,1,
235,3,Eder Carbonera,BRA,0,0,1,1,
236,5,Lucas Eduardo Loh,BRA,0,1,1,2,
237,1,Tyler Sanders,CAN,0,3,1,4,
238,14,Eric Loeppky,CAN,0,5,1,6,
239,24,Adam Schriemer,CAN,0,1,2,3,
240,16,Tomas Kocian-Falkenbach,GER,0,4,1,5,
241,19,Daniel Malescha,GER,0,13,4,17,
242,21,Morteza Sharifi,IRI,0,0,2,2,
243,3,Luca Spirito,ITA,0,1,2,3,
244,23,Andrea Argenta,ITA,0,3,2,5,
245,2,Hideomi Fukatsu,JPN,0,3,6,9,
246,7,Takashi Dekita,JPN,0,0,1,1,
247,1,Valdir Sequeira,POR,0,6,2,8,
248,28,Kirill Klets,RUS,0,2,4,6,
249,29,Kirill Ursov,RUS,0,3,0,3,
250,4,Nemanja Petric,SRB,0,6,10,16,
251,11,Aleksa Batak,SRB,0,2,1,3,
252,22,Andrija Vilimanovic,SRB,0,4,4,8,
253,24,David Mehic,SRB,0,13,8,21,
254,16,Joshua Tuaniga,USA,0,8,9,17,
255,17,Thomas Jaeschke,USA,0,4,6,10,
